id,question,answer
2984,What do Germans call private schools?,Ersatzschulen
2985,How does the level of tuition in German private schools compare to private schools in other Western European countries?,very low
2986,What are private secondary schools in Germany called?,Ergänzungsschulen
2987,What types of schools are most ergänzungsschulen?,vocational
2988,How are ergänzungsschulen funded?,tuition
2989,"Along with private individuals and organizations, what groups sometimes runs ergänzungsschulen?",religious
2990,What is the term for an Indian private school?,independent
2991,"Along with the CISCE and NENBSE, what is a notable Examination Board in multiple Indian states?",CBSE
2992,How many Examination Boards exist in India?,30
2993,What body in India provides policy directions to schools?,union government
2994,"Along with trusts, what other non-profits are allowed to run schools in India?",societies
2995,What country has the most illiterate adults in the world?,India
2996,What is the full name of the ASER?,Annual Status of Education Report
2997,What is the purpose of the ASER?,evaluates learning levels in rural India
2998,"In private schools, what language are classes taught in?",English
2999,What is the Irish term for private schools?,scoil phríobháideach
3000,How do private schools in Ireland differ from most?,teacher's salaries are paid by the State
3001,What is the typical annual cost for an Irish private school?,"€5,000"
3002,"Along with the Congregation of Christian Brothers, what is a notable religious group that runs fee-paying schools in Ireland?",Society of Jesus
3003,What might the fees to attend an Irish boarding school rise to?,"€25,000 per year"
3004,In what year did Malaysia receive its independence?,1957
3005,What language is used in Chinese primary schools in Malaysia?,Chinese
3006,What language is used in Chinese secondary schools in Malaysia?,English
3007,What is the name of the post-independence government school system in Malaysia?,National School
3008,"As a result of a compromise, about how many Chinese schools became National Type schools?",60
3009,What is a term for schools that receive government assistance?,aided
3010,How are 'un-aided' schools different from 'aided' schools?,fully funded by private parties
3011,Where is Galaxy Public School located?,Kathmandu
3012,"In Nepalese private schools, what is the primary language of instruction?",English
3013,"In addition to English, what language is also often taught in Nepalese private schools?",Nepali
3014,How many private schools existed in New Zealand in April 2014?,88
3015,"In April 2014, how many New Zealand students attended private schools?","28,000"
3016,What percentage of New Zealand students attended private schools in April 2014?,3.7
3017,What religion's schools were integrated into New Zealand public schools between 1979 and 1984?,Catholic
3018,"What city, along with Hamilton, Wellington and Christchurch, is one of the largest in New Zealand?",Auckland
3019,What denomination is the Diocesan School for Girls in Auckland affiliated with?,Anglican
3020,Where is Samuel Marsden Collegiate School located?,Wellington
3021,What denomination is associated with Saint Kentigern College?,Presbyterian
3022,In what city is Rangi Ruru Girls' School?,Christchurch
3023,What group operates St Dominic's College in Wanganui?,Society of St Pius X
3024,What percentage of Filipino primary school students are in private schools?,7.5
3025,"In the Philippines, what percentage of secondary school students attend private schools?",32
3026,What percentage of Filipino tertiary education takes place in private schools?,80
3027,In what month and year was the revised Manual of Regulations for Private Schools released?,August 1992
3028,"Along with English and mathematics, what subject replaced values education for fourth year students?",natural science
3029,What is the name of the scheme that provides tuition and fee assistance to students due to excess enrollment?,Education Service Contracting
3030,What stipend do students enrolled in priority courses receive?,Tuition Fee Supplement
3031,What aid is available to underprivileged students seeking to attend a private university?,Private Education Student Financial Assistance
3032,What South African law recognized two types of schools?,South African Schools Act
3033,In what year was the South African Schools Act passed?,1996
3034,"Along with public schools, what type of school was recognized under the South African Schools Act?",independent
3035,"In South Africa, along with privately governed schools, what schools are classified as independent?",traditional private
3036,In what century did missionaries notably establish church schools in South Africa?,nineteenth
3037,"After apartheid, what types of schools are referred to as ""Model C"" schools?",government schools formerly reserved for white children
3038,How do academic results in former Model C schools compare to other schools?,better
3039,How do the fees at former Model C schools compare to those at other schools?,higher
3040,"As of 2008, about what percentage of Swedish students attended private schools?",10
3041,About many students attend Kunskapsskolan schools?,"10,000"
3042,How many people work for Kunskapsskolan schools?,700
3043,What is the English translation of Kunskapsskolan?,The Knowledge School
3044,What school model is Sweden notable for?,voucher
3045,Up to what age do students in the United Kingdom attend preparatory schools?,13
3046,What schools do preparatory schools prepare British children to attend?,public
3047,What percentage of British children are educated at GSCE level in fee-paying schools?,9
3048,"At A-level, what percentage of British students attend fee-paying schools?",13
3049,What is the upper range of annual fees for non-boarding students in British public schools?,"£21,000"
3050,What court case desegregated schools in the United States?,Brown v. Board of Education of Topeka
3051,What is a derogatory term for the Christian academies that arose in the wake of school desegregation?,segregation academies
3052,In what part of the United States did many students migrate to Christian academies during the desegregation period?,South
3053,What was the primary race of students attending Christian academies after the Brown decision?,white
3054,School desegregation in the United States led to an increased number of students of what ethnicity in public schools?,African-American
3055,"Along with tuition, scholarships, vouchers, donations and grants, where does funding for private schools come from?",endowments
3056,What amendment to the United States Constitution governs government funding of religious schools?,First
3057,What state constitutional amendments make reference to the government funding religious schools?,Blaine
3058,Granting what status would allow private non-religious schools in the US to receive public funds?,charter
3059,What was the first US state to have compulsory education?,Massachusetts
3060,In what year did Massachusetts first require children to be educated in schools?,1852
3061,In what year was Wisconsin v. Yoder decided at the Supreme Court?,1972
3062,What is the citation for the Pierce v. Society of Sisters case?,268 U.S. 510
3063,Who was the opposing party in the Runyon case?,McCrary
3064,About how much did a New York City day school cost annually in 2012?,"$40,000"
3065,What would a parent have to pay to send their child to a boarding school in 2012?,"$50,000"
3066,What notable private school has an endowment of several hundred million dollars?,Groton School
3067,"In addition to endowments and tuition, how do boarding schools cover their operating costs?",fundraising
3068,What individual is the school named after?,John Harvard
3069,When did the undergraduate program become coeducational?,1977
3070,What was the name of the leader through the Great Depression and World War II?,James Bryant Conant
3071,What organization did Harvard found in 1900?,Association of American Universities
3072,What president of the university transformed it into a modern research university?,Charles W. Eliot
3073,What is the worlds largest academic and private library system?,Harvard Library
3074,How many individual libraries make up the main school library?,79 individual libraries
3075,How many volumes are contained in the library?,18 million volumes
3076,How many US presidents are alumni of the school?,eight U.S. presidents
3077,How many Nobel Laureates are among the school alumni?,150 Nobel laureates
3078,What is the major US city that the is the university located?,Boston metropolitan area
3079,What is the size of the school's endowment?,$37.6 billion
3080,What river is located in the vicinity of the school?,Charles River
3081,How many academic units make up the school?,eleven separate academic units
3082,What is the name of the area that the main campus is centered in Cambridge?,Harvard Yard
3083,In what year was the school formed?,1636
3084,What organization arranged to founding of school?,Massachusetts Bay Colony
3085,What year was North America's first printing press started?,1638
3086,In what year was the school renamed as Harvard College?,1639
3087,In what year was the charter granted for Harvard Corporation?,1650
3088,Ministers of what faith were trained by the university in early years?,Puritan ministers
3089,After what higher learning model was the school designed?,English university model
3090,Was the school officially associated with any denomination?,It was never affiliated with any particular denomination
3091,In what year did Harvard President Joseph Willard die?,1804
3092,What liberal succeeded Joseph Willard as president?,Samuel Webber
3093,In what year was Henry Ware elected to chair?,1805
3094,in 1846 who's natural history lectures were acclaimed in New York and Harvard?,Louis Agassiz
3095,Agassiz's approach to science combined observation and what?,intuition
3096,Common Sense Realism of what Scottish philosophers did Agassiz incorporate in his dual view of knowedge?,Thomas Reid and Dugald Stewart
3097,What president eliminated the Christian position in the curriculum?,Charles W. Eliot
3098,What conviction motivated Eliot to move towards secularization?,Transcendentalist Unitarian
3099,From whom were the movement that Eliot followed derived?,William Ellery Channing and Ralph Waldo Emerson
3100,Who lead the school back to leading research institution in 2oth century?,James Bryant Conant
3101,How was the school able to bring aboard the best talented students?,"identify, recruit"
3102,"In what year of 20th century, did Harvard release an important document about education in America?",1945
3103,What was the ratio of men to women at Harvard/Radcliffe?,about four men attending Harvard College for every woman studying at Radcliffe
3104,In what year did Harvard and Radcliffe admissions merge?,1977
3105,What was the trend of female student population from 1970s and deyond?,"the proportion of female undergraduates steadily increased, mirroring a trend throughout higher education in the United States"
3106,How far from state house in downtown Boston is Harvard Yard?,3 miles
3107,"How many residential dorms house upper class, sophomore, Jr, and Sr students?",twelve residential Houses
3108,Along what geographic feature are nine residential houses located?,Charles River
3109,How far from the Yard is the Quad located?,half a mile northwest of the Yard
3110,Where is Harvard stadium located?,Allston
3111,What is the name of the bridge that joins parts of the campus of the Charles River?,The John W. Weeks Bridge
3112,"Where are the Harvard medical, Dental and school of Public Health located?",Longwood Medical and Academic Area
3113,How much more land does the school own in Allston than Cambridge?,approximately fifty percent
3114,What are some proposals to connect campuses?,"new and enlarged bridges, a shuttle service and/or a tram."
3115,What additional benefits are there to surrounding community of expansion?,"enhanced transit infrastructure, possible shuttles open to the public, and park space which will also be publicly accessible."
3116,"What is the total number of professors, instructors, and lecturers at Harvard?","2,400"
3117,What is the enrollment of undergraduates at Harvard?,"7,200"
3118,How many graduate students does Harvard have?,"14,000"
3119,When was the color crimson adopted at Harvard as official color?,1875
3120,What year is the earliest traces of the color Crimson at Harvard?,1858
3121,What was the Harvard endowment total in 2011?,$32 billion
3122,How great were the losses suffered in the the financial crisis of 2008-09 to Harvard endowment?,30% loss
3123,What project did Harvard halt due to the financial crisis?,Allston Science Complex
3124,What are Harvard's Pell grant reserves?,$4.093 million
3125,What is Harvard's total financial aid reserves?,$159 million
3126,When was the divestment from South Africa movement? ,late 1980s
3127,What South African Vice Consul did Harvard students blockade the speech of? ,South African Vice Consul Duke Kent-Brown.
3128,By how much did Harvard management reduce its South Africa holdings in response to pressure?,$230 million
3129,What is the applicant admission rate for class of 2019?,accepted 5.3% of applicants
3130,In what year did Harvard end its early admission program?,2007
3131,Why did Harvard end its early admission program?,disadvantage low-income and under-represented minority applicants
3132,In what year was an early admission program reintroduced?,2016
3133,Between 1978 an d2008 four year full time undergraduate students were required to complete how many classes outside of their concentration?,core curriculum of seven classes
3134,Post 2008 undergraduate students are required to complete how many general education classes towards degree?,eight General Education categories
3135,What criticism in NY times article that impacts the quality of Education at Harvard?,reliance on teaching fellows
3136,What is the duration of Harvard Academic year?,beginning in early September and ending in mid-May
3137,How many courses must undergraduates maintain for full time status?,four-course rate average
3138,What are the top 4-5% graduating students honored with?,summa cum laude
3139,From 2004 to 2005 Harvard reduced the number of students earning Latin honors from 90% to what?,60%
3140,What is tuition for 2012 - 13 year at Harvard? ,"$38,000"
3141,What is the total cost of attendance in 2012-13?,"$57,000"
3142,"After 2007 how much do student from families earning less than $60,000 pay for school?","nothing for their children to attend, including room and board"
3143,In 2009 what was the total of Grants awarded from Harvard?,$414 million
3144,What percentage of total financial aid for undergraduates from Harvard was in the form of grants?,88%
3145,What is the center library in the Harvard library system?,Widener Library
3146,How many total volumes are in the Harvard library system?,18 million volumes
3147,What are the 3 post popular libraries for undergraduates in the Harvard system?,"Cabot Science Library, Lamont Library, and Widener Library"
3148,"Where are America's oldest collection of maps, gazettes, and atlases housed?",Pusey Library
3149,How many museums comprise Harvard Art Museums?,three museums.
3150,What does the Fogg Museum of Art cover?,Western art from the Middle Ages to the present
3151,What museum specializes in cultural history and civilizations of the Western Hemisphere?,Peabody Museum of Archaeology and Ethnology
3152,Starting in what year has Harvard topped the Academic Rankings of World Universities?,2003
3153,Beginning in what year was Harvard on top of the World Reputation Rankings?,2011
3154,"According to the Princeton Review where has Harvard ranked as a ""Dream College"" in 2013",second most commonly
3155,How many intercollegiate sports does Harvard compete in NCAA division I,42
3156,What is Harvard's most intense rival?,Yale University
3157,At what time is the Harvard-Yale rivalry set aside?,every two years when the Harvard and Yale Track and Field teams come together to compete against a combined Oxford University and Cambridge University team
3158,What was the first year that Yale and Harvard played football?,1875
3159,In what year did Harvard Stadium become the first ever concrete reinforced stadium in the country?,1903
3160,In what year was a set of significant rule changes introduced including the forward pass?,1906
3161,What school was Walter Camp a captain for the football team?,former captain of the Yale football team
3162,What is the name of Harvard's basketball facility?,Lavietes Pavilion
3163,What is the name of Harvard's primary recreational sports facility?,Malkin Athletic Center
3164,How many weight rooms are in the Malkin Athletic Center,three weight rooms
3165,"Harvard - Yale Regatta predates ""The Game"" by how many years?",23 years
3166,In what body of water is the Harvard - Yale Regatta held?,Thames River
3167,Who is the primary rival of the Harvard Crimson hockey team?,strong rivalry against Cornell
3168,In what year did Harvard win an Intercolleiate Sailing Association National Championship?,2003
3169,What UN secretary went to Harvard?,General Ban Ki-moon
3170,What Columbia President went to Harvard?,Juan Manuel Santos
3171,Who is the Costa Rican President that went to Harvard?,José María Figueres
3172,What Harvard Alumni was the Palestine Prime Minister?,Benjamin Netanyahu
3173,What tv host and writer went to Harvard?,Conan O'Brien
3174,What famous conductor went to Harvard?,Leonard Bernstein
3175,What is the name of world renowned cellist is a former Harvard student?,Yo Yo Ma
3176,What famous civil rights leader called Harvard home?,W. E. B. Du Bois
3177,What Fields Medal winning Mathematician is a faculty member at Harvard?,Shing-Tung Yau
3178,What prestigious legal scholars are faculty members at Harvard?,Alan Dershowitz and Lawrence Lessig
3179,What Shakespeare Scholar is a faculty member at Harvard?,Stephen Greenblatt
3180,Which Florida city has the biggest population?,Jacksonville
3181,What was the population Jacksonville city as of 2010?,"1,345,596"
3182,"Based on population alone, what is Jacksonville's ranking in the United States?",12th
3183,In which county does Jacksonville reside?,Duval
3184,What year did consolidation cause Jacksonville to become part of Duval County?,1968
3185,What river runs alongside Jacksonville?,St. Johns
3186,How far is Jacksonville from Miami?,340 miles
3187,What is the name of the French colony established in 1564?,Fort Caroline
3188,"Prior to the arrival of the French, the area now known as Jacksonville was previously inhabited by what people?",the Timucua
3189,What historical figure was Jacksonville named after?,Andrew Jackson
3190,What is the ranking of the military forces in Jacksonville?,third largest
3191,What sport attracts most tourists to Jacksonville?,golf
3192,How many naval bases are located in Jacksonville?,two
3193,What are those from Jacksonville sometimes called?,"""Jacksonvillians"" or ""Jaxsons"""
3194,The area where Jacksonville currently sits has been inhabited for how many years?,thousands
3195,Who discovered pottery found on Black Hammock Island?,a University of North Florida team
3196,What civilization did the pottery belong to?,Timucua
3197,What is the 16th century known as the start of?,the historical era
3198,What is the name of the village that once existed in what is now downtown Jacksonville?,Ossachite
3199,Who mapped the St. Johns River in 1562?,Jean Ribault
3200,For what nation did Ribault initially claim what is now Jacksonville?,France
3201,Who led the attack of the French colony in 1565?,Pedro Menéndez de Avilés
3202,What was Fort Caroline renamed to after the Spanish attack?,San Mateo
3203,Which fort was rebuilt in 1964?,Fort Caroline
3204,After what event did the Spanish concede Florida to Britain?,French and Indian War
3205,"Soon after gaining Florida, what did the English do?",constructed the King's Road
3206,Why the narrow part of St. John's River called Cowford?,cattle were brought across the river there.
3207,Who gained control of Florida after the conclusion of the Revolutionary War?,Spain
3208,When was the Jacksonville town charter approved?,"February 9, 1832"
3209,Supplies from Jacksonville were in support of which faction in the Civil War?,Confederate
3210,What was the name of the battle that marked the first Confederate win in Florida?,The Skirmish of the Brick Church
3211,After what battle did Union forces return to and occupy Jacksonville for the rest of the war?,Battle of Olustee
3212,What factors negatively impacted Jacksonville following the war?,Warfare and the long occupation
3213,In what year was the battle that resulted from a Confederate cavalry unit attacking a Union expedition?,Battle of Cedar Creek
3214,During which period did Jacksonville become a popular destination for the rich?,Gilded Age
3215,Which US President visited Jacksonville in 1888?,Grover Cleveland
3216,What caused Jacksonville's tourism to become less desirable at the latter half of the 19th century?,yellow fever outbreaks
3217,What drew would-be Jacksonville tourists to other Florida destinations?,extension of the Florida East Coast Railway further south
3218,"Other than the steamboat, what modern form of travel brought visitors to Florida?",railroad
3219,What caused the spread of the Jacksonville fire in 1901?,Spanish moss
3220,How many buildings were razed by the Jacksonville fire?,"over 2,000"
3221,"In the wake of the Jacksonville fire, what did the Florida Governor do?",declare martial law
3222,What was the Jacksonville fire later known as?,Great Fire of 1901
3223,Who was drawn to Jacksonville in the 1910s?,New York–based filmmakers
3224,What type of movies were produced in Jacksonville's 30 studios?,silent film
3225,Jacksonville's popularity for films earned it what title?,Winter Film Capital of the World
3226,What brought the downfall of Jacksonville filmmaking?,Hollywood
3227,What drove residents to quieter suburban housing?,highways
3228,What was the white population of Jacksonville as of 2010?,55.1%
3229,What term referred to middle class citizens leaving the suburbs?,"""white flight"""
3230,Who was responsible for the new building projects in Jacksonville?,Mayor W. Haydon Burns
3231,Jacksonville began to suffer and decline after what major world event?,World War II
3232,What was the cause for the issues with city funding?,Much of the city's tax base dissipated
3233,In what part of the city did residents suffer from a lack of city services?,unincorporated suburbs
3234,What was the proposed solution to Jacksonville's tax issues?,annexing outlying communities
3235,Who voted against Jacksonville's annexation?,Voters outside the city limits
3236,How were most city officials elected in the 1960s?,old boy network
3237,How many city officials were indicted due to corruption?,11
3238,What political group began to gain support following the corruption scandal?,Jacksonville Consolidation
3239,What spurred increased support for government reform?,public high schools lost their accreditation
3240,What was the result of the 1967 referendum?,voters approved the plan
3241,Who was Jacksonville's mayor at the time of the consolidation?,Hans Tanzler
3242,What was Jacksonville referred to as after the consolidation?,"""Bold New City of the South"""
3243,What was the name of the approved measure that helped cover the cost of major city projects?,Better Jacksonville Plan
3244,How did the Better Jacksonville Plan generate money?,authorized a half-penny sales tax
3245,What is the land area of Jacksonville?,874.3 square miles
3246,What river separates Jacksonville?,The St. Johns River
3247,What is the name of the river that is completely contained inside Jacksonville?,The Trout River
3248,How much of Jacksonville is made up of water?,13.34%
3249,What town is surrounded by Jacksonville?,Baldwin
3250,What distinction does the Bank of America Tower hold?,tallest building in Downtown Jacksonville
3251,The Bank of America Tower was previously known as what?,Barnett Center
3252,How tall is the Bank of America Tower?,617 ft
3253,How many floors are there in the building that was completed in 1967?,28
3254,What makes the Wells Fargo Center stand out?,its distinctive flared base
3255,What type of climate does Jacksonville have?,subtropical
3256,When does rain typically fall in Jacksonville?,May through September
3257,How is winter weather in Jacksonville described as?,mild
3258,"Aside from being located on the coast, what contributes to Jacksonville's lack of cold weather?",low latitude
3259,What is Jacksonville's hottest recorded temperature?,104 °F
3260,What is a common occurrence during summer days?,thunderstorms
3261,What else contributes to Jacksonville's summer storms other than land heating beside the water?,high humidity
3262,What is Jacksonville's hottest month on average?,July
3263,What storm had the most significant impact on Jacksonville?,Hurricane Dora
3264,How fast were the winds around St. Augustine in the 1964 hurricane?,110 mph
3265,What was the name of the storm that hit Jacksonville in May of 2012?,Tropical Storm Beryl
3266,What is the scale used to measure the strength of hurricanes called?,Saffir-Simpson Scale
3267,In what year did a tropical storm cause a four day loss of power to Jacksonville?,2008
3268,What ethnic group located in Jacksonville is ranked tenth largest?,Arab
3269,How many residents were recorded in the 2010 census of Jacksonville?,"821,784"
3270,"Compared to the rest of Florida, how does Jacksonville's Filipino population rank?",largest
3271,What Jacksonville community is known for having heavy ties to the Navy?,Filipino
3272,What portion of households in Jacksonville have only one person?,29.7%
3273,How many of Jacksonville's city residents are younger than 18?,23.9%
3274,Which gender is more populous across all groups in Jacksonville?,females
3275,How many men older than 18 are there for every 100 women?,91.3
3276,What percentage of global assets does the richest 1% of people have?,40%
3277,"According to Oxfam, the 85 richest people have wealth equal to how many average people?",about 3.5 billion people
3278,"In order to be considered in the top percentile, a person would need to amass how much money each year?","$759,900"
3279,What has caused Oxfam's findings to be questioned?,the methodology used
3280,Why does Oxfam and Credit Suisse believe their findings are being doubted?,a diversion
3281,What percent of the global assets in 2000 were owned by just 1% of adults?,40%
3282,What do the three richest people in the world posses more of than the lowest 48 nations together?,financial assets
3283,"How much was the combined wealth of the ""10 Million dollar millionaires"" in 2008?",nearly $41 trillion
3284,How much of the global wealth will the wealthiest 1 percent own by 2016?,half
3285,Why are there more poor people in the United States and Europe than China?,greater tendency to take on debts
3286,How many Americans are richer than more than half of all citizens?,400
3287,What publication printed that the wealthiest 1% have more money than those in the bottom 90%?,New York Times
3288,What is considered as a potential advantage for wealth for some Americans?,Inherited wealth
3289,What did the richest 400 Americans have as children that helped them be successful adults?,grew up in substantial privilege
3290,What do the top 400 richest Americans have more of than half of all Americans combined?,wealth
3291,Who owns more wealth than the bottom 90 percent of people in the U.S.?,richest 1 percent
3292,What may explain why some Americans who've become rich may have had a head start?,Inherited wealth
3293,How many of the richest 400 Americans grew up in substantial privilege?,over 60 percent
3294,What Institute published findings in September 2012 regarding the Forbes richest 400 Americans?,Institute for Policy Studies
3295,What philosophy of thought  addresses wealth inequality?,Neoclassical economics
3296,What is income inequality attributed to?,"differences in value added by labor, capital and land"
3297,What impacts distribution of wealth when evaluating labor?,different classifications of workers
3298,What is the term that describes the difference between what higher paid and lower paid professionals earn?,productivity gap
3299,How is income determined in a market with variously skilled workers?,marginal value added of each economic actor
3300,What did Neoclassical economics view the inequality in the distribution of income as being from?,"differences in value added by labor, capital and land"
3301,What is distribution of income from labor due to the differences of?,value added by different classifications of workers
3302,What does the marginal value added by an economic actor determine?,wages and profits
3303,What are examples of economic actors?,"worker, capitalist/business owner, landlord"
3304,"In a market economy, what is inequality a reflection of?",productivity gap between highly-paid professions and lower-paid professions
3305,What pushes businesses to increase pressures on workers?,reduce costs and maximize profits
3306,What impact does workers working harder have on productivity of a business?,less workers are required
3307,"When less workers are required, what happens to the job market?",increasing unemployment
3308,What impact does higher worker productivity and leveled pay have on higher earners?,rising levels of property income
3309,What do capitalist firms substitute equipment for in a Marxian analysis?,labor inputs
3310,Why do firms substitute equipment for workers?,reduce costs and maximize profits
3311,What trend increases the organic composition of capital over the long term?,substitute capital equipment
3312,What does the substitution of equipment for labor raise for workers?,productivity
3313,What type of wages does mechanization and automation lead to?,stagnant
3314,What is controled by the market and economy?,workers wages
3315,Under what law is value of a worker determined?,supply and demand
3316,What happens when business underpays their workers?,business is chronically understaffed
3317,How do competing businesses attract workers?,offering a higher wage
3318,How is income inequality generally viewed by workers?,unfair
3319,What controls wages in a purely capitalist mode of production?,the market
3320,What do wages work in the same way as for any other good?,prices
3321,What can be considered as a function of market price of skill?,wages
3322,"What can concentrate wealth, pass environmental costs on to society and abuse both workers and consumers?",markets
3323,What type of outcomes can even stable markets lead to?,unfair
3324,What has the tendency to increase wages in a field or job position?,Competition amongst workers
3325,When there are many workers competing for a few jobs its considered as what?,low demand
3326,What is the potential earnings for a job where there are few skilled workers but many available positions?,high wages
3327,What can lead to higher wages for members of labor organizations?,"collective bargaining, political influence, or corruption"
3328,Who works to get workers higher compensation?,Professional and labor organizations
3329,What does many workers willing to work for a lot of time competing for a job that only requires a few workers result in?,low wage
3330,What drives down wages in a job with many workers willing to work a lot?,competition between workers
3331,Why does competition among workers drive down wages?,expendable nature of the worker
3332,What type of wages result from jobs where there is low supply but high demand?,high
3333,"While competition between workers drives down wages for jobs with a high supply of worker, whose competition drives wages up for the inverse?",employers
3334,What increases with the increase of income inequality?,entrepreneurship rates
3335,Survivial is at the heart of what concept for workers?,Necessity-based entrepreneurship
3336,What type of motivators are food and shelter considered?,push
3337,What type of motivators are achievement and self determination considered?,pull
3338,What type of entrepreneurship leads to advancements in technology?,opportunity-based entrepreneurship
3339,What increases entrepreneurship rates at the individual level?,higher economic inequality
3340,What is the increased rates of self-employment based on?,necessity
3341,Survival needs such as income for food and shelter motivates what type of entrepreneurship? ,Necessity-based
3342,What motivation is opportunity-based entrepreneurship driven by?,achievement-oriented
3343,What type of impact does opportunity-based entrepreneurship tend to have on economic growth?,positive
3344,What is it called when the tax rate and base amount increase simultaneously?,progressive tax
3345,What tax rate has a direct relationship with income inequality?,top tax rate
3346,What can work to even the distribution of wealth?,social spending
3347,What system has an impact on income inequality?,tax system
3348,"In a progressive tax, what increases as the taxable base amount increases?",the tax rate
3349,What will have a direct impact of inequality in a system that uses a progressive tax?,level of the top tax rate
3350,What can result in more equal distribution of income?,steeper tax
3351,What index is an indicator of the effects of taxes applied to social spending?,the Gini index
3352,What is key to getting the skills needed for high demand jobs?,access to education
3353,What do people with lower income have less access to?,optional education
3354,What does less education lead to when working?,lower wages
3355,Who has limited productive potential when faced with less access to education?,poor
3356,What are those with lower incomes less likely to have in order to prepare for the future?,savings and investment
3357,What is an important factor contributing to inequality for individuals?,access to education
3358,What does education in an area where there is high demand for workers tend to create?,high wages
3359,What type of wages do people unable to afford an education receive?,lower
3360,What does lack of education lead directly to?,lower incomes
3361,What helps to unleash the productivity ability of the poor?,education
3362,What did Standard & Poor recommend to speed economy recovery?,increasing access to education
3363,How much potential economic growth could the United States amass if everyone went through more schooling?,$105 billion
3364,What is the United States at risk for because of the recession of 2008?,boom-and-bust cycles
3365,Who concluded that the rising income inequality gap was not getting better?,Standard & Poor
3366,When did economists reach a conclusion with the S&P's rating agency?,2014
3367,When the recovery between the widening gap between the richest citizens and rest of the nation slow?,2008-2009
3368,What did S&P recommend to somewhat remedy the wealth gap?,increasing access to education
3369,"If the average U.S. worker were to complete an additional year of school, what amount of growth would be generated over 5 years?",$105 billion
3370,What does wealth disparity make the economy more prone to?,boom-and-bust cycles
3371,When did the high school education movement occur?,1910–1940
3372,What impact did the high school education movement have on the presence of skilled workers?,increase
3373,What impact did the high school education movement have on the wages of skilled workers?,decrease
3374,What impacts gender inequality in wages?,gender inequality in education
3375,What contributed to the decreased inequality between trained and untrained workers?,period of compression
3376,When was the mass high school education movement?,from 1910–1940
3377,What did the increase in skilled workers lead to?,a decrease in the price of skilled labor
3378,How did the education during the high school education movement differ from the subsequent high school education?,designed to equip students with necessary skill sets to be able to perform at work
3379,What is very important for the growth of the economy?,Education
3380,What can result in creating a poverty trap?,gender inequality in education
3381,What types of organizations are on a decline in the US which adversely effects economic mobility?,unions
3382,Which set of countries have higher economic mobility than the United States?,continental European countries
3383,Under which policy are labor unions encouraged?,continental European liberalism
3384,How much support is there for the US approach to economic development?,little
3385,What is economic liberalism one of the causes of?,economic inequality
3386,What does the U.S. economic and social model have substantial levels of?,social exclusion
3387,What organization is John Schmitt and Ben Zipperer members of?,CEPR
3388,How much support does evidence provide for the view that labor-market flexibility improves labor-market outcomes?,little
3389,What level of economic mobility does the U.S. economy have compared to European countries?,lower
3390,What country has low income inequality and high presence of unions?,Scandinavia
3391,What do weak labor movement correlate with?,high inequality
3392,What has had a negative impact on the labor markets in the US?,decline of organized labor
3393,What has presented problems to the US economy more than other nations?,technological changes and globalization
3394,What is the profession of Jake Rosenfield?,Sociologist
3395,What college is Jake Rosenfield associated with?,University of Washington
3396,What does Rosenfield feel plays the most significant role in expanding the income gap?,decline of organized labor
3397,What rate of unionization do Scandinavian nations have?,high
3398,What does high inequality go hand-in-hand with?,weak labor movements
3399,What effect does trade with poorer countries have on the workers in richer countries?,reduced wages
3400,What effect does trade with richer countries have on the workers in poorer countries?,increased wages
3401,What has a bigger impact on the United States' economy more than trade?,technological innovation
3402,What has replaced lower skilled workers in the United States?,machine labor
3403,What scale does trade liberalization shift economic inequality from?,global
3404,"When rich countries trade with poor countries, whose wages increase?",workers in the poor countries
3405,What does Paul Krugmen think has had an observable effect on inequality in the U.S.?,trade liberalisation
3406,"Compared to other causes, the effect of trade on inequality in America is what?",minor
3407,What has technological innovation and automation replaced low-skilled jobs with?,machine labor
3408,What is the income inequality gap between genders in Botswana?,53%
3409,What is the gender income inequality in Bahrain?,-40%
3410,What is attributed to the income inequality in the United States?,less willing to travel or relocate
3411,Who does the wage gap between genders provide an advantage?,males
3412,"In many countries, what kind of pay gap is there?",Gender
3413,Who does a gender pay gap tend to favor?,males in the labor market
3414,What gender is less willing to travel or relocate for work?,women
3415,"Who is the author of the book, ""Knowledge and Decisions""?",Thomas Sowell
3416,What does a U.S. census report state that even after other factors there still exists this between earnings of men and women?,a difference
3417,What types of programs help to redistribute wealth?,social welfare
3418,What is the level of inequality in underdeveloped countries?,relatively equal
3419,What introduces inequality to a country?,more capital
3420,What leads to lower income inequality?,redistribution mechanisms
3421,What profession does Simon Kuznets have?,Economist
3422,What did Kuznets argue resulted from stages of development?,levels of economic inequality
3423,What does a country acquire as it develops?,more capital
3424,What do the owners of more capital end up having?,more wealth
3425,What do redistribution mechanisms lead to?,lower levels of inequality
3426,During what time period did income inequality decrease in the United States?,1910 to 1940
3427,When did income inequality begin to increase in the US?,1970s
3428,In what sector are jobs beginning to increase?,service
3429,In what sector are jobs beginning to decrease?,manufacturing
3430,Who plotted the relationships between levels of income and inequality?,Kuznets
3431,What is a a developing economy's level of inequality bulging out called?,Kuznets curve
3432,What has recent testing of Kuznets theory with superior data show it to be?,very weak
3433,What does Kuznets' curve predict about income inequality given time?,eventually decrease
3434,What may be possible for multiple Kuznets' cycles to be in at any given time?,effect
